content,device,like,rcount,ctime,avatar,level,sex,sign,uname,mid,oid,diag
把03式步枪加装到如影2上（加装一定的转接器可以变成一个遥控火力点，如果把这一套加到M600Pro上，那就变成了空中火力点，你也打不下了（飞高一点），如果对通讯模块升级到军用的那就牛批了，大疆完全可以变成军火商啊,phone,2,0,,http://i1.hdslb.com/bfs/face/1bce9623507443a5a4e4d0d8414c3191ab2e6cec.jpg,3,保密,"不起名字
懒得起名
对就这样",我真的不想起名字-,526812442,842473459,原评论
前排前排前排！,,2,0,,http://i1.hdslb.com/bfs/face/e06a2567fb66c3fe020c05852d0c681b7e9cf4f3.jpg,5,保密,"银河先生今日出片了吗？
...( ＿ ＿)ノ｜",Severus·,11639917,842473459,原评论
NB,,2,0,,http://i1.hdslb.com/bfs/face/1f7c82aa6c40b638b59b05bb858f7477c1b511e7.jpg,4,男,"评论区up主
抽奖区非洲人
天天晚上直播玩游戏的咸鱼
既然看见了，要不，点个关注？
",未能及时脱贫的硬骨头,302549118,842473459,原评论
牛哔,,1,0,,http://i0.hdslb.com/bfs/face/1cb536d2954e07de005b71da5dfe51d5d359fff9.jpg,6,男,你永远不知道我是啥up主，正所谓术业无专攻,丶夏洛特,2598310,842473459,原评论
如影s在哭了,,1,0,,http://i2.hdslb.com/bfs/face/5d56a295ae20571eac920f8e5b30e6762e62c479.jpg,5,男,没错，你能在任何一个区看见假盾，看见就关注一下吧,布苹德神盾,73803480,842473459,原评论
[tv_doge]如影S换购RSC2可以吗,,1,0,,http://i2.hdslb.com/bfs/face/45d61faae94ebff314513f631a9f3f064e51fec1.jpg,6,女,,坂本美绪,1569976,842473459,原评论
真不戳 A5大小真不戳,,1,0,,http://i0.hdslb.com/bfs/face/2580d3f3d7de7250bc7951bba59189c3b82a3657.jpg,5,保密,,OctopusYu,7853811,842473459,原评论
索尼24 105么,phone,1,0,,http://i2.hdslb.com/bfs/face/1547411ad320f700d7fec959f1b86c0daa25b1dd.jpg,4,保密,,fanox,291746359,842473459,原评论
现在问题来了到底买RS2 还是RSC2....,,1,1,,http://i2.hdslb.com/bfs/face/148667b4a1242cd8b6487c023fc23ea15a0e1b1d.jpg,3,保密,环球小姐上海赛区导演,莱晶德雷,376364710,842473459,原评论
rs2主要是为bmpcc6k这种准备的吧,,0,0,,http://i0.hdslb.com/bfs/face/8a13155acac4366c8c81d424889d1f5c1d76fc25.jpg,5,保密,女装是不可能女装的，这辈子不可能女装的。,周日小编拒绝女装,74523692,842473459,原评论
大疆yyds,phone,1,0,,http://i1.hdslb.com/bfs/face/7d862dd4150eb34b63d438cf5d2323ca8ed0e6d9.jpg,5,男,不想跟傻子对线，我评价的很理性客观,风烟记,19636584,842473459,原评论
感觉现在的稳定器发展已经到头了~[doge],,1,2,,http://i0.hdslb.com/bfs/face/28bf10be6a6451884e2a5d4690c7d9f7efb57bec.jpg,4,男,首席攻城狮 键盘侠 搬运工~~~,NJ影像视野,322270163,842473459,原评论
拿着稳定器，蹦蹦跳跳都有稳定效果才算到头,,1,0,,http://i0.hdslb.com/bfs/face/a265825f8ef47c74f95020880a9dbb0b695944ce.jpg,5,男,我想去掉“我是”两个字,我是旗队长,598244,842473459,原评论
没有到头 还差的很远,,0,0,,http://i2.hdslb.com/bfs/face/4eecb51056258134dd26cf0fef6e3e3cd5ce19a8.jpg,5,保密,从事儿童摄影摄像工作,梦寻高家庄,255841421,842473459,原评论
已安排！,,1,0,,http://i2.hdslb.com/bfs/face/3e6460f08c69b37a96a3e3eb3b770a98a6ca3ca4.jpg,5,男,有一说一 真实有力 从不放屁 感谢观看与支持,如果只是李大同,38375243,842473459,原评论
冲冲冲,,1,0,,http://i1.hdslb.com/bfs/face/7884dda9fd9f2d6a2596f9c9ec1ab2302619e5e6.jpg,3,保密,,新晋社会工具人,317473876,842473459,原评论
总算等来了,,1,0,,http://i2.hdslb.com/bfs/face/c7bc0c03da44c0db42d0b470c3444d9fa92dbce5.jpg,5,男,喜欢弹吉他，打篮球的摄影师,库里23,179504943,842473459,原评论
能搭载bmpcc加一堆套件吗,phone,1,0,,http://i0.hdslb.com/bfs/face/89b6ea8bf018b084b268acfabf8681aa31fa4476.jpg,5,男,对啥都感那么点儿兴趣。记录成长路,聚光大羽,271280096,842473459,原评论
爱了爱了，钱没准备好。,phone,1,0,,http://i2.hdslb.com/bfs/face/ffc19681d437be9d64267e7dd2ec596d2fc9ff29.jpg,5,保密,大家平起平坐，谁又比谁高贵呢？,呵微灰,3519480,842473459,原评论
我了个去，这个设计有点6,phone,1,0,,http://i0.hdslb.com/bfs/face/89b6ea8bf018b084b268acfabf8681aa31fa4476.jpg,5,男,对啥都感那么点儿兴趣。记录成长路,聚光大羽,271280096,842473459,原评论
这个折叠设计直接就可以提壶了吗？爱了爱了,,0,0,,http://i0.hdslb.com/bfs/face/7e34802256495a1e1b9c10a59cb175f4880bda46.jpg,3,保密,,D异抗坏血酸铍,383433292,842473459,原评论
已买RSC2，测试中,,0,0,,http://i0.hdslb.com/bfs/face/488a66eb563dfba1e15ad52cf9ef975814b9bbfc.jpg,4,男,我是来学习的,魄游药丸,32429961,842473459,原评论
牛逼,phone,0,0,,http://i1.hdslb.com/bfs/face/089e137e91e7deb14035e5a7504284d6a1aeef6f.jpg,5,保密,,可鲁可洛,13287702,842473459,原评论
大疆一天要发布几条视频啊？这是我今天看的第三条了,phone,0,0,,http://i2.hdslb.com/bfs/face/026e2f8dd83b63e9c584731e53e091b0eb24afaa.jpg,5,保密,,非洲flag,71351613,842473459,原评论
我想要全画幅的Mavic 3,,0,0,,http://i0.hdslb.com/bfs/face/member/noface.jpg,4,保密,,coolfax,72603714,842473459,原评论
这视频的节奏感太棒了，炫酷！,,0,0,,http://i2.hdslb.com/bfs/face/a2870227aafb9e1b93239d5951c7b5946b2f0d2e.jpg,6,保密,经常吃垃圾食品脸上会出现什么？当然是笑容,昀゙゙,1740947,842473459,原评论
稳定器都发俩了，osmo pocket 该出二代了么[大哭],phone,0,0,,http://i1.hdslb.com/bfs/face/9f18bfed7f2df80f756fe272ada43201db745bc0.jpg,4,男,瞎拍而已,低调的幻想家,294483627,842473459,原评论
有拍延时功能吗？,phone,0,0,,http://i1.hdslb.com/bfs/face/c1ae4bb3c6b7d1bc556adb73704a1e3f9686fb40.jpg,3,保密,喜欢木艺 数码拍照旅游,可乐戒诚,392870026,842473459,原评论
臂力强劲,,0,0,,http://i2.hdslb.com/bfs/face/0445f32321a98d8a45b90355809c4705a31a73c3.jpg,3,保密,不过是一个兴趣使然的摄影师。,飞行的ZDD,57463696,842473459,原评论
手里的sc突然就不香了,,0,0,,http://i1.hdslb.com/bfs/face/8d9b568f177e38ae6276649bdcff1dbe4bd81cc4.jpg,5,男,e_e”,应阙斯汀,95251089,842473459,原评论
买了没法激活[大哭],phone,0,0,,http://i0.hdslb.com/bfs/face/5d2c92beb774a4bb30762538bb102d23670ae9c0.gif,5,保密,,啥都烦,357410,842473459,原评论
sc刚买没多久  羡慕了,,0,0,,http://i0.hdslb.com/bfs/face/201340d7280b57ce7d31a8c6916ce40c6d365b02.jpg,3,保密,,一只小飞相,382631677,842473459,原评论
何时发布新一代无人机？,,0,0,,http://i0.hdslb.com/bfs/face/bfea91d51f89318c14d40202ed3e2b6c19dc3286.jpg,4,保密,"君しか愛していません~
o>_<o イレイナ",依濑,256417989,842473459,原评论
安排的佳能[喜极而泣]排面,phone,0,0,,http://i2.hdslb.com/bfs/face/d7e98cdf384083e883d0abe257ef913b68cc3e08.jpg,5,保密,海鲜森王国,海鲜森Haggi,16477661,842473459,原评论
回疆的诱惑,,0,0,,http://i2.hdslb.com/bfs/face/7e8cf0a321f81550a1e72ac8880fc74dbd65e48d.jpg,5,男,没有情感支撑的Video很容易就会消散,摄影师SzZ,12403558,842473459,原评论
刚买的wbs,,0,0,,http://i1.hdslb.com/bfs/face/d73a08fdf33dbb670b74a62ae16d393eceaed057.jpg,3,保密,全网最详细大小姐教学,赛口气质舞王,123416625,842473459,原评论
变形金刚似的各种转换方式《我,phone,0,0,,http://i2.hdslb.com/bfs/face/720b4713800c6a6ab146283e35dec36e83406f02.jpg,5,保密,,UNIEREA,55879004,842473459,原评论
"大姜的公关是真用功, 几个关注的up同时上传了上手实拍...",,0,0,,http://i2.hdslb.com/bfs/face/bc4136ef814f4b73ddb1a235b4ecdf31802db1d3.jpg,4,男,摄影~摄像~航拍~延时~剪辑~调色  样样不精..,Iytoa2899,268853216,842473459,原评论
[大哭]好家伙，但是单反加云台，举不动,phone,0,0,,http://i2.hdslb.com/bfs/face/fb2884d934207289a8d3853068d42222264bd2b5.jpg,5,保密,,今天想吃鱼啊,24762552,842473459,原评论
RSC的轴臂有用上碳钎维吗？？,,0,1,,http://i2.hdslb.com/bfs/face/391748e2cec551b1789884f51287291a69f5cacb.jpg,4,男,"Do the right thing,be a right man.",ReturnO-O,286607831,842473459,原评论
只有rs2有,phone,0,0,,http://i0.hdslb.com/bfs/face/123b7d0f4719fa8326b06f423dd4e53606944346.jpg,4,保密,我就是我，不一样的二踢脚！,东琛瑰宝,384356535,842473459,原评论
超级增稳的算法会下放固件么,,0,0,,http://i1.hdslb.com/bfs/face/899bffa757f916f564c7527598a204466cd06d89.jpg,4,男,佛系约片，随缘返图,马里瓜皮奥,43886743,842473459,原评论
我的sc带不动镜头很蛋疼想哭[妙啊],,0,0,,http://i1.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg,5,保密,,薛定谔搞死了一只猫,219642749,842473459,原评论
买了[doge],phone,0,0,,http://i1.hdslb.com/bfs/face/2c0f809c078eb1ebb06531b655908e2be17e78af.jpg,5,男,"喜欢ITX的摄影师，航拍手
业务联系WX：13556906066
中大新华18级
#电脑#摄影#林距离
企鹅群：1125506416",Anderの装机实验室,13161902,842473459,原评论
大疆什么时候把相机也换成自己的？,phone,0,0,,http://i0.hdslb.com/bfs/face/member/noface.jpg,5,保密,,dwejhoid,3818719,842473459,原评论
那么，索尼到底有没有支持跟焦了呢,,0,0,,http://i1.hdslb.com/bfs/face/2a83635f8d660f5efb38810d5b165f3b02601fdf.jpg,3,保密,投稿视频其实只是把这里当做保存记忆的地方,wan2der,481348220,842473459,原评论
大疆NB,,0,0,,http://i0.hdslb.com/bfs/face/5242dd67bd5ceda36ad0994a4ece07195d226ede.jpg,4,保密,生活很好，记得微笑。,Memory_cherry,385371080,842473459,原评论
看到SC2是小屏幕不想买，S2又用不到那么大载重而且有点贵，而且不喜欢SC2的折叠设计😔,,0,0,,http://i0.hdslb.com/bfs/face/f17dcac2420a1b2271409ac24369f1c1009c9273.jpg,5,男,喜欢汉服和摄影的小哥哥，最近学习用稳定器加单反录视频。有需要录汉服舞蹈的小姐姐可以私信我，在郑州或洛阳的coser可以找我拍照，记提前约时间,溪梦雅,269855188,842473459,原评论
果然，大疆创新,phone,0,0,,http://i0.hdslb.com/bfs/face/567a4fd2dbc117416868a6ef605214ed2d18a0b5.jpg,3,保密,一步三卡，卡的潇洒,我比较卡,239124796,842473459,原评论
好家伙，好强势[支持],,0,0,,http://i2.hdslb.com/bfs/face/a7dab494748971952ee05e8810037e9fa80c449c.jpg,3,保密,,奶茶味的生活,384217963,842473459,原评论
能不能说明一下能不能置换？,,0,0,,http://i2.hdslb.com/bfs/face/5d22d0cdf7452d2c4c3fbbe09360f3310b27d7d7.jpg,5,男,学自己想做的的美食~,欣月之蓝,4084713,842473459,原评论
大疆牛逼，引领视频周边行业新未来。,,0,0,,http://i2.hdslb.com/bfs/face/fb45c9204061ddd22e75ea94372a87086308409b.jpg,3,男,在深圳的职业自由摄影师……,江南社杰少,472696399,842473459,原评论
大疆牛逼！,,0,0,,http://i1.hdslb.com/bfs/face/50c2a7afc13ffeeec52f0214a980fb73167a8b43.jpg,5,男,"这里是一只什么都做的又死懒的非洲咸鱼*<(¦Q呼呼呼。。。。﻿


粉丝2千或者单个视频15天之内播放量10万发女装_(:з」∠)_",咸鱼的关关,252974698,842473459,原评论
斯坦尼康？,,0,0,,http://i1.hdslb.com/bfs/face/5684a1cca895e82d561fcb4958f9dfb3986c6820.jpg,5,男,,猛蛮丸v,11513135,842473459,原评论
已买,,0,0,,http://i1.hdslb.com/bfs/face/4f27c8d949be92f3b119e1302624d470bc7f3c4b.jpg,5,保密,骚年，要重新做人吗？,漠简溪,3345519,842473459,原评论
我靠！香炸了,,0,0,,http://i2.hdslb.com/bfs/face/ee2b6ed3d8633c0111a9b1635c011f24abed0ca8.jpg,4,保密,分享生活，分享美好。wb : 半妆摄影,半妆摄影,28022029,842473459,原评论
手里的sc突然就不香了[大哭],phone,0,0,,http://i1.hdslb.com/bfs/face/5c06b864e0509bff27ac69ff313d37f441369813.jpg,5,保密,,慕尼黑白,3176599,842473459,原评论
能像智云一样搞个回收稳定器吗?[doge],,0,0,,http://i0.hdslb.com/bfs/face/member/noface.jpg,5,保密,,昵称抢不到哦,43299329,842473459,原评论
还说自己不是军工厂,phone,0,2,,http://i0.hdslb.com/bfs/face/265696bfd0f7889364dc9292db5fa192d2e46a99.jpg,5,男,无一是你，无一不是你,赵小西找不到西,39313353,842473459,原评论
回复 @电子传递链没有电子 :开玩笑的说辞，军方无人机基本用大疆，而且还可以参与作战,phone,0,0,,http://i0.hdslb.com/bfs/face/265696bfd0f7889364dc9292db5fa192d2e46a99.jpg,5,男,无一是你，无一不是你,赵小西找不到西,39313353,842473459,原评论
？？？这和军工有什么关系[热词系列_知识增加],phone,0,0,,http://i0.hdslb.com/bfs/face/0caa1ed9fe79f90c9b502de9f98631b8622ec4db.jpg,5,保密,所有的问题都是经济问题。,电子传递链没有电子,88272766,842473459,原评论
啊啊啊，爱了爱了,phone,0,0,,http://i2.hdslb.com/bfs/face/9257add4fc9aedded24dbc8c47e8fed4c6b26cb0.jpg,3,女,哈嘿，爱好摄影和美食,小萍一一雪扬,412352466,842473459,原评论
在我们群里转发了一下大家都震撼了,,0,0,,http://i2.hdslb.com/bfs/face/911a36c99c4b3c527fa3658e8b19d90819d0e0b7.jpg,3,保密,,钛帝熊,588827054,842473459,原评论
坐等pocket二代,,0,0,,http://i2.hdslb.com/bfs/face/ce84f44a1b964a9a2e78326f74ba7c359d4bcb19.jpg,5,男,一个人拥有一个梦想，就有一个理由选择坚强，心若没有栖息的地方，到哪里都是在流浪……,老师好我是小马,36027367,842473459,原评论
如影S置换 或者升级也行[呲牙] 如影S太重了,phone,0,0,,http://i2.hdslb.com/bfs/face/63c8510802d30e4edc235ec7bb1d67ffcc4cdce9.jpg,3,男,"（可爱小帅哥一位）
                                      （感谢哔哩哔哩官方提供的平台）
   
",凌家末,232475035,842473459,原评论
在？什么时候抽一个？,,0,0,,http://i1.hdslb.com/bfs/face/1df0921c125a579f4b9361696278f635d9be3ab3.jpg,4,男,"QQ群：961670893 
从头再来.",WTF_拽鹿先森_,249075678,842473459,原评论
又想榨干我的钱包[笑哭],,0,0,,http://i2.hdslb.com/bfs/face/7a93dfc84e1ff881c6be28cbafd131c5ad797944.jpg,5,男,2021年要高考，停更一年喽～嘻嘻～,Hello-楠枫,148231122,842473459,原评论
我就想知道RSC2是否支持SC置换,,0,0,,http://i0.hdslb.com/bfs/face/5d22d0cdf7452d2c4c3fbbe09360f3310b27d7d7.jpg,5,男,学自己想做的的美食~,欣月之蓝,4084713,842473459,原评论
sc可以以旧换新吗[酸了],,0,0,,http://i2.hdslb.com/bfs/face/2a5862274989d1ba31f6a65d0ca58a01edca89b5.jpg,3,男,"新人up,请大家多多关注。",Van-TV,278090488,842473459,原评论
求求你了给别家留条活路吧2333333333,,0,0,,http://i0.hdslb.com/bfs/face/949e015f661f251ca259b6e83533708976c670fa.jpg,6,男,全网同名kimo桑_(:зゝ∠)_WeChat：kimomomo ,Kimo桑,14079696,842473459,原评论
各种整合，集很多品牌的稳定器特点于一身。不满意的有两点，没触摸屏，模式切换还是老式的多击切换,,0,0,,http://i2.hdslb.com/bfs/face/4afffbab10d9db40ea8e676e93d40869f1c6d69e.jpg,5,保密,,青头阿甘,9607284,842473459,原评论
手里的sc突然不香了[疑惑],,0,0,,http://i2.hdslb.com/bfs/face/f205d158f033f5cd33a25e3acf8ebd5c624846d9.jpg,3,男,,月小提琴,516400146,842473459,原评论
片里终于搭佳能的设备了，以前搭过索尼,,0,0,,http://i1.hdslb.com/bfs/face/af70e9444b067c400421c54aa25b896c29b17b8b.jpg,4,保密,,胡椒能,403809193,842473459,原评论
买买买,,0,0,,http://i0.hdslb.com/bfs/face/f139cc25027d719d989721abbca5c839f2555b14.jpg,5,男,商片合作请私信,Quinn不困,222844484,842473459,原评论
dji，yes！,,0,0,,http://i2.hdslb.com/bfs/face/a145355e2aee7d0dc46363711397f7358d482658.jpg,6,男,重度⑨厨的工科狗。自学画画中……,雾之湖的小球,5761044,842473459,原评论
太香了，好纠结是一代还是入二代啊[打call],pad,0,0,,http://i1.hdslb.com/bfs/face/f6964b134c0db1a823115a0c0c84a5e5cda93542.jpg,6,男,CP：墨香芍药/红色组/我永远喜欢CPer!!!/摸鱼账号@回忆夜河的红色 /目前墙头：APH.栀子.V+.舟游.崩三,不做deadline战士,12948617,842473459,原评论
你我2000,,0,0,,http://i2.hdslb.com/bfs/face/dfd597563d96e2b7f59613952ca70c8c085ad785.jpg,5,保密,一切都是最好的安排,啊迟迟迟,12401376,842473459,原评论
不好意思 我迟到了,phone,0,0,,http://i2.hdslb.com/bfs/face/a0bd2dbeea873453295d3efcb2a0c0e1c84ab287.jpg,4,保密,,许小西呀,109066473,842473459,原评论
佳能 成最大赢家[doge],,0,0,,http://i2.hdslb.com/bfs/face/5398033ea682690438bce3f1f3030fcd39dbe3f4.jpg,5,男,Mental calm helps you cool down naturally ！,Abraham_YU,21211746,842473459,原评论
DJI YES！,,0,0,,http://i1.hdslb.com/bfs/face/c7e023cf4927b130b5f1c8b67887409acd7636f8.jpg,5,男,沉迷抽奖中,盛百凡,14064125,842473459,原评论
评论区抽一台？[调皮][调皮][调皮],,0,0,,http://i0.hdslb.com/bfs/face/member/noface.jpg,4,保密,,麦风风,357081309,842473459,原评论
